Character attributes, sorted by character frequency
Character	Radical	Rad. nr.	Plus strokes	Total strokes	Rank	Freq. abs.	Freq. Rel.	Pronounc. nr.
山	46	14	2	0.0052
乙	5	14	2	0.0052
風	182	14	2	0.0052
力	19	14	2	0.0052
示	113	14	2	0.0052
玉	96	14	2	0.0052
小	42	14	2	0.0052
見	147	14	2	0.0052
亅	6	14	2	0.0052
戶	63	14	2	0.0052
馬	187	15	1	0.0026
老	125	15	1	0.0026
豕	152	15	1	0.0026
頁	181	15	1	0.0026
高	189	15	1	0.0026
用	101	15	1	0.0026
皮	107	15	1	0.0026
亠	8	15	1	0.0026
角	148	15	1	0.0026
夂	34	15	1	0.0026
禸	114	15	1	0.0026
几	16	15	1	0.0026
面	176	15	1	0.0026
血	143	15	1	0.0026
長	168	15	1	0.0026
厂	27	15	1	0.0026
身	158	15	1	0.0026
虫	142	15	1	0.0026
廾	55	15	1	0.0026
雨	173	15	1	0.0026
尢	43	15	1	0.0026
夊	35	15	1	0.0026
矢	111	15	1	0.0026
欠	76	15	1	0.0026
而	126	15	1	0.0026
鬼	194	15	1	0.0026
凵	17	15	1	0.0026
米	119	15	1	0.0026
爿	90	15	1	0.0026
爻	89	15	1	0.0026
士	33	15	1	0.0026
黑	203	15	1	0.0026
勹	20	15	1	0.0026
田	102	15	1	0.0026
靑	174	15	1	0.0026
气	84	15	1	0.0026
爪	87	15	1	0.0026
无	71	15	1	0.0026
囗	31	15	1	0.0026
行	144	15	1	0.0026
厶	28	15	1	0.0026
麻	200	15	1	0.0026
方	70	15	1	0.0026
歹	78	15	1	0.0026
穴	116	15	1	0.0026
匕	21	15	1	0.0026
冂	13	15	1	0.0026
子	39	15	1	0.0026
音	180	15	1	0.0026
自	132	15	1	0.0026
入	11	15	1	0.0026
殳	79	15	1	0.0026
至	133	15	1	0.0026
生	100	15	1	0.0026


Radical frequency per token (occurrences of radicals in occurrences of characters)
rad	rad. nr.	rank	f abs.	f rel.
一	1	1	77	0.1985
人	9	2	67	0.1727
白	106	3	53	0.1366
口	30	3	53	0.1366
心	61	4	42	0.1082
亅	6	5	41	0.1057
目	109	6	36	0.0928
土	32	7	29	0.0747
手	64	7	29	0.0747
儿	10	7	29	0.0747
木	75	8	28	0.0722
日	72	9	27	0.0696
辵	162	9	27	0.0696
車	159	10	23	0.0593
子	39	11	22	0.0567
水	85	11	22	0.0567
刀	18	12	21	0.0541
